timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681595285047,395,HTTP Request compresion 1,200,OK,Thread Group 1-255,text,true,,196,16521487,3,3,http://localhost:5000/api/tasks,395,0,2
1681595285234,361,HTTP Request compresion 1,200,OK,Thread Group 1-256,text,true,,196,16521523,2,2,http://localhost:5000/api/tasks,361,0,3
1681595285440,225,HTTP Request compresion 1,200,OK,Thread Group 1-257,text,true,,196,16521495,2,2,http://localhost:5000/api/tasks,225,0,2
1681595285621,157,HTTP Request compresion 1,200,OK,Thread Group 1-258,text,true,,196,16521499,1,1,http://localhost:5000/api/tasks,157,0,2
1681595285823,1372,HTTP Request compresion 1,200,OK,Thread Group 1-259,text,true,,196,16521491,7,7,http://localhost:5000/api/tasks,1371,0,3
1681595286614,1387,HTTP Request compresion 1,200,OK,Thread Group 1-263,text,true,,196,16521499,10,10,http://localhost:5000/api/tasks,1387,0,1
1681595287185,1388,HTTP Request compresion 1,200,OK,Thread Group 1-265,text,true,,196,16521523,12,12,http://localhost:5000/api/tasks,1388,0,2
1681595286413,2192,HTTP Request compresion 1,200,OK,Thread Group 1-262,text,true,,196,16521519,11,11,http://localhost:5000/api/tasks,2192,0,1
1681595286022,2609,HTTP Request compresion 1,200,OK,Thread Group 1-260,text,true,,196,16521515,10,10,http://localhost:5000/api/tasks,2609,0,1115
1681595287137,1509,HTTP Request compresion 1,200,OK,Thread Group 1-264,text,true,,196,16521487,10,10,http://localhost:5000/api/tasks,1508,0,1
1681595287250,1493,HTTP Request compresion 1,200,OK,Thread Group 1-266,text,true,,196,16521483,9,9,http://localhost:5000/api/tasks,1493,0,6
1681595287186,1572,HTTP Request compresion 1,200,OK,Thread Group 1-261,text,true,,196,16521507,8,8,http://localhost:5000/api/tasks,1571,0,3
1681595287838,1033,HTTP Request compresion 1,200,OK,Thread Group 1-269,text,true,,196,16521503,8,8,http://localhost:5000/api/tasks,1033,0,2
1681595288024,884,HTTP Request compresion 1,200,OK,Thread Group 1-270,text,true,,196,16521507,7,7,http://localhost:5000/api/tasks,883,0,2
1681595287618,1331,HTTP Request compresion 1,200,OK,Thread Group 1-268,text,true,,196,16521491,6,6,http://localhost:5000/api/tasks,1331,0,22
1681595287421,1539,HTTP Request compresion 1,200,OK,Thread Group 1-267,text,true,,196,16521499,5,5,http://localhost:5000/api/tasks,1538,0,26
1681595288230,787,HTTP Request compresion 1,200,OK,Thread Group 1-271,text,true,,196,16521491,5,5,http://localhost:5000/api/tasks,787,0,1
1681595288636,430,HTTP Request compresion 1,200,OK,Thread Group 1-273,text,true,,196,16521487,4,4,http://localhost:5000/api/tasks,430,0,1
1681595288429,651,HTTP Request compresion 1,200,OK,Thread Group 1-272,text,true,,196,16521515,3,3,http://localhost:5000/api/tasks,650,0,2
1681595288816,298,HTTP Request compresion 1,200,OK,Thread Group 1-274,text,true,,196,16521487,2,2,http://localhost:5000/api/tasks,298,0,4
1681595289017,155,HTTP Request compresion 1,200,OK,Thread Group 1-275,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,154,0,2
